gazetteerId,placeName,sourcePlaceName,pleiadesId,pleiadesName,latitude,longitude,featureType,description,uri,confidence
GAZ00073,Dortico,Dortico,207093,Dorticum,44.19265,22.736228,unknown,"An ancient place, cited: BAtlas 21 E5 Dorticum",http://pleiades.stoa.org/places/207093,confirmed
GAZ00074,Drasdea,Drasdea,222050,Drasdea,,,unknown,"An ancient place, cited: BAtlas 22 unlocated Drasdea",http://pleiades.stoa.org/places/222050,confirmed
GAZ00075,Drobeta,Drobeta,207100,Drobeta,44.635584,22.660366,unknown,"An ancient place, cited: BAtlas 21 E5 Drobeta",http://pleiades.stoa.org/places/207100,confirmed
GAZ00076,Duodecimo constituta,Duodecimo constituta,876623,Duodecimum,,,unknown,"An ancient place, cited: BAtlas 89 unlocated Duodecimum",http://pleiades.stoa.org/places/876623,confirmed
GAZ00077,Durostoro,Durostoro,216800,Durostorum,44.117033,27.260732,unknown,"An ancient place, cited: BAtlas 22 E4 Durostorum",http://pleiades.stoa.org/places/216800,confirmed
GAZ00078,Flaviana,Flaviana,216811,Flaviana,44.24818,27.948318,unknown,"An ancient place, cited: BAtlas 22 E4 Flaviana",http://pleiades.stoa.org/places/216811,confirmed
GAZ00079,Friglas,Friglas,275629,Friglas,34.96001,-6.150002,unknown,"An ancient place, cited: BAtlas 28 B4 Frigidae",http://pleiades.stoa.org/places/275629,confirmed
GAZ00080,Gadda,Gadda,697666,Gadda,32.026672,36.081722,unknown,"An ancient place, cited: BAtlas 71 C1 Gadda?",http://pleiades.stoa.org/places/697666,confirmed
GAZ00081,Glannibanta,Glannibanta,89193,Glannibanta,54.355499,-3.410628,unknown,*Glannoventa was a Roman fort and naval base on the coast of Cumbria.,http://pleiades.stoa.org/places/89193,confirmed
GAZ00082,Graio,Graio,203127,Graium,,,unknown,"An ancient place, cited: BAtlas 20 unlocated Graium",http://pleiades.stoa.org/places/203127,confirmed
GAZ00083,Grannona in litore Saxonico,Grannona in litore Saxonico,138377,Grannona,,,unknown,"An ancient place, cited: BAtlas 14 C1 Grannona",http://pleiades.stoa.org/places/138377,confirmed
GAZ00084,Gratiana,Gratiana,226611,Gratiana,45.036639,29.161736,unknown,"An ancient place, cited: BAtlas 23 C3 Gratiana?",http://pleiades.stoa.org/places/226611,confirmed
GAZ00085,Guntiae,Guntiae,118716,Guntia,48.454426,10.281491,unknown,"An ancient place, cited: BAtlas 12 D4 Guntia",http://pleiades.stoa.org/places/118716,confirmed
GAZ00086,Helela,Helela,668259,Helela,34.778675,38.733046,unknown,"An ancient place, cited: BAtlas 68 G4 Helela",http://pleiades.stoa.org/places/668259,confirmed
GAZ00087,Hunno,Hunno,89201,Hunno,55.010652,-2.005582,unknown,A fort on Hadrian's Wall known today as Halton Chesters.,http://pleiades.stoa.org/places/89201,confirmed
GAZ00088,Ioviaco,Ioviaco,118761,Ioviacum,48.424004,13.871117,unknown,"An ancient place, cited: BAtlas 12 G4 Ioviacum?",http://pleiades.stoa.org/places/118761,confirmed
GAZ00089,Isiu,Isiu,756583,Isiu,27.26579,31.149104,unknown,"An ancient place, cited: BAtlas 77 E2 Isiu",http://pleiades.stoa.org/places/756583,confirmed
GAZ00090,Lapurdo,Lapurdo,246461,Lapurdum,43.492723,-1.474944,unknown,"An ancient place, cited: BAtlas 25 D2 Lapurdum",http://pleiades.stoa.org/places/246461,confirmed
GAZ00091,Lato,Lato,589899,Lato,35.179924,25.656483,unknown,"Lato was an ancient city of Crete, a Dorian city-state located on Mirabello Bay. The principal ruins date to the fifth and fourth centuries BC and the city was destroyed ca. 200 BC.",http://pleiades.stoa.org/places/589899,confirmed
GAZ00092,Lauriaco,Lauriaco,118802,Lauriacum,48.220692,14.465958,unknown,"An ancient place, cited: BAtlas 12 H4 Lauriacum",http://pleiades.stoa.org/places/118802,confirmed
GAZ00093,Lentiae,Lentiae,118803,Lentia,48.306072,14.286293,unknown,"An ancient place, cited: BAtlas 12 H4 Lentia",http://pleiades.stoa.org/places/118803,confirmed
GAZ00094,Libona,Libona,699901,Libona,,,unknown,"An ancient place, cited: BAtlas 71 unlocated Libona",http://pleiades.stoa.org/places/699901,confirmed
GAZ00095,Lussonio,Lussonio,197362,Lussonium,46.656784,18.881709,unknown,"An ancient place, cited: BAtlas 20 F3 Lussonium",http://pleiades.stoa.org/places/197362,confirmed
GAZ00096,Magis,Magis,89237,Magis,,,unknown,"A Roman fort at modern-day Burrow Walls, probably to identified with the ancient placename ""Magis"" (BAtlas 9 D6 Magis?).",http://pleiades.stoa.org/places/89237,confirmed
GAZ00097,Maglone,Maglone,89236,Maglone,54.807397,-3.15326,unknown,"A Roman fort at present-day Old Carlisle, cited: BAtlas 9 D6 ‘Maglone’",http://pleiades.stoa.org/places/89236,confirmed
GAZ00098,Marcianopoli,Marcianopoli,216878,Marcianopolis,43.22504,27.585033,unknown,"An ancient place, cited: BAtlas 22 E5 Marcianopolis",http://pleiades.stoa.org/places/216878,confirmed
GAZ00099,Marcis in litore Saxonico,Marcis in litore Saxonico,109140,Marcis,50.810751,1.70763,unknown,"An ancient place, cited: BAtlas 11 B2 Marcis?",http://pleiades.stoa.org/places/109140,confirmed
GAZ00100,Margo,Margo,207267,Margum,44.69123,21.061748,unknown,"An ancient place, cited: BAtlas 21 D5 Margum",http://pleiades.stoa.org/places/207267,confirmed
GAZ00101,Massiliae Graecorum,Massiliae Graecorum,148127,Massilia,43.296854,5.382499,unknown,Massalia/Massilia (modern Marseille) was founded by Phocaean Greeks ca. 600 BC as a trading outpost.,http://pleiades.stoa.org/places/148127,confirmed
GAZ00102,Mefana - Cartha,Mefana - Cartha,699911,Cartha,,,unknown,"An ancient place, cited: BAtlas 71 unlocated Sartha/Cartha/Sirtha",http://pleiades.stoa.org/places/699911,confirmed
GAZ00103,Melitena,Melitena,629040,Melitena,38.34767,38.314627,unknown,Melitene was an ancient city on the Tohma River. It was the station of Legio XII Fulminata from AD 70 onwards.,http://pleiades.stoa.org/places/629040,confirmed
GAZ00104,Menochiae,Menochiae,687964,Menochia,31.334516,34.399245,unknown,"An ancient place, cited: BAtlas 70 E3 Maon/Menoeis/Castrum Moenoenum",http://pleiades.stoa.org/places/687964,confirmed
GAZ00105,Metita,Metita,874603,Metita,38.161074,39.14419,unknown,"An ancient place, cited: BAtlas 89 B2 Metita",http://pleiades.stoa.org/places/874603,confirmed
GAZ00106,Miseno,Miseno,432941,Misenum,40.786279,14.084884,unknown,"An ancient place, cited: BAtlas 44 F4 Misenum",http://pleiades.stoa.org/places/432941,confirmed
GAZ00107,Moahile,Moahile,748965,Moahile,,,unknown,"An ancient place, cited: BAtlas 76 unlocated Moahile",http://pleiades.stoa.org/places/748965,confirmed
GAZ00108,Mochora,Mochora,863842,Mochora,,,unknown,"An ancient place, cited: BAtlas 88 A2 Mocheresis",http://pleiades.stoa.org/places/863842,confirmed
GAZ00109,Mogontiaco,Mogontiaco,109169,Mogontiacum,49.993005,8.278026,unknown,The original Roman settlement at Mogontiacum (modern Mainz) was established by Drusus ca. 13/12 BC. The settlement became an important military center throughout Roman times and was the base of operations for numerous Roman legions.,http://pleiades.stoa.org/places/109169,confirmed
GAZ00110,Morbio,Morbio,92170,Morbium,,,unknown,"An ancient place, cited: BAtlas 9 unlocated Morbium",http://pleiades.stoa.org/places/92170,confirmed
GAZ00111,Motha,Motha,678289,Motha,32.41855,36.818713,unknown,"An ancient place, cited: BAtlas 69 E5 Motha(na)/Motho?",http://pleiades.stoa.org/places/678289,confirmed
GAZ00112,Mursae,Mursae,197389,Mursa,45.560018,18.675749,unknown,"Mursa was an ancient city on the Drava river and the site of a colonia Aelia Mursa, likely founded by Hadrian in AD 133. Traces of Neolithic and Iron Age cultures have also been discovered at the site.",http://pleiades.stoa.org/places/197389,confirmed
GAZ00113,Nazala,Nazala,668315,Nazala,34.260948,37.257544,unknown,"An ancient place, cited: BAtlas 68 D5 Nazala",http://pleiades.stoa.org/places/668315,confirmed
GAZ00114,Nee,Nee,554290,Nee,,,unknown,"An ancient place, cited: BAtlas 56 unlocated Nea Kome/Nee",http://pleiades.stoa.org/places/554290,confirmed
GAZ00115,Nicomediae,Nicomediae,511337,Nicomedia,40.765931,29.916288,unknown,Nicomedia was founded in 712/11 BC as a Megarian colony named Astacus and was rebuilt by Nicomedes I of Bithynia in 264 BC. The city was an important administrative center of the Roman Empire.,http://pleiades.stoa.org/places/511337,confirmed
GAZ00116,Novariae,Novariae,383717,Novaria,45.445082,8.618661,unknown,"An ancient place, cited: BAtlas 39 D3 Novaria",http://pleiades.stoa.org/places/383717,confirmed
GAZ00117,Olenaco,Olenaco,89260,Olenacum,,,unknown,"A Roman fort at present day Elslack, North Yorkshire, cited: BAtlas 9 E7 Olenacum?",http://pleiades.stoa.org/places/89260,confirmed
GAZ00118,Oneuatha,Oneuatha,678315,Oneuatha,34.018825,37.283135,unknown,"An ancient place, cited: BAtlas 69 F1 Oneuatha/*Anabatha",http://pleiades.stoa.org/places/678315,confirmed
GAZ00119,Oraba,Oraba,874688,Oraba,36.244537,40.707477,unknown,"An ancient place, cited: BAtlas 89 C4 Shadikanni/Ar(a)ban/(H)Oraba?/*Castellum Arabum",http://pleiades.stoa.org/places/874688,confirmed
GAZ00120,Oresa,Oresa,668323,Oresa,35.124102,38.94342,unknown,"An ancient place, cited: BAtlas 68 G3 Oriza/Oruba/Oresa",http://pleiades.stoa.org/places/668323,confirmed
GAZ00121,Osismis,Osismis,69511,Osismis,48.389734,-4.486847,unknown,Gesocribate/Osismis (modern Brest in France) was a settlement in Gallia Lugdunensis.,http://pleiades.stoa.org/places/69511,confirmed
GAZ00122,Othonae,Othonae,79631,Othona,51.724124,0.900334,unknown,"An ancient place, cited: BAtlas 8 H3 Othona",http://pleiades.stoa.org/places/79631,confirmed
GAZ00123,Pacatiana,Pacatiana,278631,Pacatiana,,,unknown,"An ancient place, cited: BAtlas 28 unlocated Pacatiana",http://pleiades.stoa.org/places/278631,confirmed
GAZ00124,Palmira,Palmira,668331,Palmyra,34.553302,38.269948,temple-2;,"An ancient oasis and trading city with monumental remains, located in modern Syria. Inscribed as a UNESCO World Heritage Site in 1980.",http://pleiades.stoa.org/places/668331,confirmed
GAZ00125,Parroduno,Parroduno,118903,Parrodunum,48.70045,11.016986,unknown,"An ancient place, cited: BAtlas 12 E4 Parrodunum",http://pleiades.stoa.org/places/118903,confirmed
