placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000161,,OCC000161,Lentiae,118803,Lentia,48.306072,14.286293,unknown,Occidentis,Dux Pannoniae primae,,Equites sagittarii,1347,CONTEXT_EXACT,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000163,,OCC000163,Arlape,118571,Arlape,48.211913,15.208959,unknown,Occidentis,Dux Pannoniae primae,,Equites Dalmatae,1349,CONTEXT_EXACT,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000164,,OCC000164,Augustianis,118581,Augustiana,48.351096,15.743137,unknown,Occidentis,Dux Pannoniae primae,,Equites Dalmatae,1350,CONTEXT_FUZZY,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000165,,OCC000165,Comagenis,128385,Comagena,48.330987,16.052027,unknown,Occidentis,Dux Pannoniae primae,,Equites promoti,1351,,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000166,,OCC000166,Ioviaco,118761,Ioviacum,48.424004,13.871117,unknown,Occidentis,Dux Pannoniae primae,Praefectus,legionis secundae Italicae militum liburnariorum,1352,CONTEXT_EXACT,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000167,,OCC000167,Lentiae,118803,Lentia,48.306072,14.286293,unknown,Occidentis,Dux Pannoniae primae,Praefectus,legionis secundae Italicae partis inferioris,1353,CONTEXT_EXACT,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000168,,OCC000168,Lauriaco,118802,Lauriacum,48.220692,14.465958,unknown,Occidentis,Dux Pannoniae primae,Praefectus,legionis secundae Italicae,1354,CONTEXT_EXACT,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000169,,OCC000169,Adiuuense,118541,Ad Iuvense,48.167341,14.715782,unknown,Occidentis,Dux Pannoniae primae,Praefectus,legionis primae Noricorum militum liburnariorum cohortis Quintae partis superioris,1355,CONTEXT_FUZZY,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000172,,OCC000172,Austuris,118577,Asturis,48.344636,15.910311,unknown,Occidentis,Dux Pannoniae primae,Tribunus,cohortis,1360,,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000173,,OCC000173,Cannabiaca,128375,Cannabiaca,48.329013,16.177392,unknown,Occidentis,Dux Pannoniae primae,Tribunus,cohortis,1361,CONTEXT_EXACT,confirmed,SOFT_MATCH,NORICUM RIPENSE,Pannoniae et Norici ripensis,,Pannoniae et Norici ripensis,
OCC000176,,OCC000176,Submuntorio,118986,Summuntorium,48.646252,10.8264,unknown,Occidentis,Dux Raetiae,,Equites stablesiani iuniores,1377,CONTEXT_FUZZY,confirmed,SOFT_MATCH,RAETIA,Raetiae primae et secundae,,Raetiae primae et secundae,
OCC000178,,OCC000178,Submuntorio,118986,Summuntorium,48.646252,10.8264,unknown,Occidentis,Dux Raetiae,Praefectus,legionis tertiae Italicae partis superioris deputatae ripae primae,1379,CONTEXT_FUZZY,confirmed,SOFT_MATCH,RAETIA,Raetiae primae et secundae,,Raetiae primae et secundae,
OCC000180,,OCC000180,Guntiae,118716,Guntia,48.454426,10.281491,unknown,Occidentis,Dux Raetiae,Praefectus,militum Ursariensium,1381,EXACT_NO_CONTEXT,confirmed,SOFT_UNVERIFIED,,Raetiae primae et secundae,,Raetiae primae et secundae,
