mentionId;document;line;literalForm;source;pointEligible;issue;nodeType;officeType;office;unit;chapter;groupPath;sourceText
PM000053;Occidentis;808;Remensis;unit;1;;civil;procurator;Procurator;gynaecii Remensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Remensis, Belgicae secundae.
PM000054;Occidentis;809;Triberorum;unit;1;;civil;procurator;Procurator;gynaecii Triberorum;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Triberorum, Belgicae primae.
PM000055;Occidentis;810;Augustoduno;unit;1;;civil;procurator;Procurator;gynaecii Augustoduno translati Mettis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Augustoduno translati Mettis.
PM000056;Occidentis;810;Mettis;transfer;1;;civil;procurator;Procurator;gynaecii Augustoduno translati Mettis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii Augustoduno translati Mettis.
PM000057;Occidentis;811;Ventensis;unit;1;;civil;procurator;Procurator;gynaecii (in Britannis) Ventensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores gynaeciorum;Procurator gynaecii (in Britannis) Ventensis.
PM000058;Occidentis;813;Viennensis;unit;1;;civil;procurator;Procurator;linyfii Viennensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores linyfiorum;Procurator linyfii Viennensis, Galliarum.
PM000059;Occidentis;814;Ravennatis;unit;1;;civil;procurator;Procurator;linyfii Ravennatis;Insignia viri illustris comitis sacrarum largitionum;Procuratores linyfiorum;Procurator linyfii Ravennatis, Italiae.
PM000060;Occidentis;816;Tarentini;unit;1;;civil;procurator;Procurator;bafii Tarentini;Insignia viri illustris comitis sacrarum largitionum;Procuratores bafiorum;Procurator bafii Tarentini, Calabriae.
PM000061;Occidentis;817;Salonitani;unit;1;;civil;procurator;Procurator;bafii Salonitani;Insignia viri illustris comitis sacrarum largitionum;Procuratores bafiorum;Procurator bafii Salonitani, Dalmatiae.
PM000062;Occidentis;818;Cissensis;unit;1;;civil;procurator;Procurator;bafii Cissensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores bafiorum;Procurator bafii Cissensis, Venetiae et Histriae.
PM000063;Occidentis;819;Syracusani;unit;1;;civil;procurator;Procurator;bafii Syracusani;Insignia viri illustris comitis sacrarum largitionum;Procuratores bafiorum;Procurator bafii Syracusani, Siciliae.
PM000064;Occidentis;821;Girbitani;unit;1;;civil;procurator;Procurator;bafii Girbitani;Insignia viri illustris comitis sacrarum largitionum;Procuratores bafiorum;Procurator bafii Girbitani, provinciae Tripolitanae.
PM000065;Occidentis;822;insularum Balearum;unit;1;;civil;procurator;Procurator;bafii insularum Balearum;Insignia viri illustris comitis sacrarum largitionum;Procuratores bafiorum;Procurator bafii insularum Balearum, in Hispania.
PM000066;Occidentis;823;Telonensis;unit;1;;civil;procurator;Procurator;bafii Telonensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores bafiorum;Procurator bafii Telonensis, Galliarum.
PM000067;Occidentis;824;Narbonensis;unit;1;;civil;procurator;Procurator;bafii Narbonensis;Insignia viri illustris comitis sacrarum largitionum;Procuratores bafiorum;Procurator bafii Narbonensis.
PM000068;Occidentis;826;Arelatensium;unit;1;;unknown;praepositus;Praepositus;branbaricariorum siue argentariorum Arelatensium;Insignia viri illustris comitis sacrarum largitionum;Praepositi branbaricariorum siue argentariorum;Praepositus branbaricariorum siue argentariorum Arelatensium.
PM000069;Occidentis;827;Remensium;unit;1;;unknown;praepositus;Praepositus;branbaricariorum siue argentariorum Remensium;Insignia viri illustris comitis sacrarum largitionum;Praepositi branbaricariorum siue argentariorum;Praepositus branbaricariorum siue argentariorum Remensium.
PM000070;Occidentis;828;Triberorum;unit;1;;unknown;praepositus;Praepositus;branbaricariorum siue argentariorum Triberorum;Insignia viri illustris comitis sacrarum largitionum;Praepositi branbaricariorum siue argentariorum;Praepositus branbaricariorum siue argentariorum Triberorum.
PM000071;Occidentis;877;Triberorum;unit;1;;civil;procurator;Procurator;rei privatae gynaeciorum Triberorum;Insignia viri illustris comitis privatarum;Sub dispositione viri illustris comitis rerum privatarum;Procurator rei privatae gynaeciorum Triberorum.
PM000072;Occidentis;878;Viuarensis;unit;1;;civil;procurator;Procurator;gynaecei Viuarensis rei privatae Metti translata anhelat;Insignia viri illustris comitis privatarum;Sub dispositione viri illustris comitis rerum privatarum;Procurator gynaecei Viuarensis rei privatae Metti translata anhelat.
PM000073;Occidentis;1079;Thamallensis;limes;1;;unknown;praepositus;Praepositus;limitis Thamallensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Thamallensis.
PM000074;Occidentis;1080;Leptitanis;castris;1;;unknown;praepositus;Praepositus;limitis Montensis in castris Leptitanis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Montensis in castris Leptitanis.
PM000075;Occidentis;1080;Montensis;limes;1;;unknown;praepositus;Praepositus;limitis Montensis in castris Leptitanis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Montensis in castris Leptitanis.
PM000076;Occidentis;1081;Bazensis;limes;1;;unknown;praepositus;Praepositus;limitis Bazensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Bazensis.
PM000077;Occidentis;1082;Gemellensis;limes;1;;unknown;praepositus;Praepositus;limitis Gemellensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Gemellensis.
PM000078;Occidentis;1083;Tubuniensis;limes;1;;unknown;praepositus;Praepositus;limitis Tubuniensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Tubuniensis.
PM000079;Occidentis;1084;Zabensis;limes;1;;unknown;praepositus;Praepositus;limitis Zabensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Zabensis.
PM000080;Occidentis;1085;Tubusubditani;limes;1;;unknown;praepositus;Praepositus;limitis Tubusubditani;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Tubusubditani.
PM000081;Occidentis;1086;Thamallomensis;limes;1;;unknown;praepositus;Praepositus;limitis Thamallomensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Thamallomensis.
PM000082;Occidentis;1087;Balaretensis;limes;1;;unknown;praepositus;Praepositus;limitis Balaretensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Balaretensis.
PM000083;Occidentis;1088;Columnatensis;limes;1;;unknown;praepositus;Praepositus;limitis Columnatensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Columnatensis.
PM000084;Occidentis;1089;Tablatensis;limes;1;;unknown;praepositus;Praepositus;limitis Tablatensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Tablatensis.
PM000085;Occidentis;1090;Caputcellensis;limes;1;;unknown;praepositus;Praepositus;limitis Caputcellensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Caputcellensis.
PM000086;Occidentis;1091;Secundaeforum;limes;1;;unknown;praepositus;Praepositus;limitis Secundaeforum in castris Tillibanensibus;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Secundaeforum in castris Tillibanensibus.
PM000087;Occidentis;1091;Tillibanensibus;castris;1;;unknown;praepositus;Praepositus;limitis Secundaeforum in castris Tillibanensibus;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Secundaeforum in castris Tillibanensibus.
PM000088;Occidentis;1092;Taugensis;limes;1;;unknown;praepositus;Praepositus;limitis Taugensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Taugensis.
PM000089;Occidentis;1093;Bidensis;limes;1;;unknown;praepositus;Praepositus;limitis Bidensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Bidensis.
PM000090;Occidentis;1094;Badensis;limes;1;;unknown;praepositus;Praepositus;limitis Badensis;Comes Africae;Sub dispositione viri spectabilis comitis Africae / Limitanei;Praepositus limitis Badensis.
PM000091;Occidentis;1110;Tamuco;tail;1;;unknown;praefectus;Praefectus;alae Herculeae;Comes Tingitaniae;Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei;Praefectus alae Herculeae, Tamuco.
PM000092;Occidentis;1111;Duga;tail;1;;unknown;tribunus;Tribunus;cohortis secundae Hispanorum;Comes Tingitaniae;Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei;Tribunus cohortis secundae Hispanorum, Duga.
PM000093;Occidentis;1112;Aulucos;tail;1;;unknown;tribunus;Tribunus;cohortis primae Herculeae;Comes Tingitaniae;Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei;Tribunus cohortis primae Herculeae, Aulucos.
PM000094;Occidentis;1113;Castrabarensis;tail;1;;unknown;tribunus;Tribunus;cohortis primae Ityraeorum;Comes Tingitaniae;Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei;Tribunus cohortis primae Ityraeorum, Castrabarensis.
PM000095;Occidentis;1114;Sala;tail;1;;unknown;tribunus;Tribunus;cohortis .......;Comes Tingitaniae;Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei;Tribunus cohortis ........, Sala.
PM000096;Occidentis;1115;Pacatiana;tail;1;;unknown;tribunus;Tribunus;cohortis Pacatianensis;Comes Tingitaniae;Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei;Tribunus cohortis Pacatianensis, Pacatiana.
PM000097;Occidentis;1116;Tabernas;tail;1;;unknown;tribunus;Tribunus;cohortis tertiae Asturum;Comes Tingitaniae;Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei;Tribunus cohortis tertiae Asturum, Tabernas.
PM000098;Occidentis;1117;Friglas;tail;1;;unknown;tribunus;Tribunus;cohortis Friglensis;Comes Tingitaniae;Sub dispositione viri spectabilis comitis Tingitaniae / Limitanei;Tribunus cohortis Friglensis, Friglas.
PM000099;Occidentis;1137;Othonae;tail;1;;unknown;praepositus;Praepositus;numeri Fortensium;Comes litoris Saxonici per Britanniam;Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam;Praepositus numeri Fortensium, Othonae.
PM000100;Occidentis;1138;Dubris;tail;1;;unknown;praepositus;Praepositus;militum Tungrecanorum;Comes litoris Saxonici per Britanniam;Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam;Praepositus militum Tungrecanorum, Dubris.
PM000101;Occidentis;1139;Lemannis;tail;1;;unknown;praepositus;Praepositus;numeri Turnacensium;Comes litoris Saxonici per Britanniam;Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam;Praepositus numeri Turnacensium, Lemannis.
PM000102;Occidentis;1140;Branoduno;tail;1;;unknown;praepositus;Praepositus;equitum Dalmatarum Branodunensium;Comes litoris Saxonici per Britanniam;Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam;Praepositus equitum Dalmatarum Branodunensium, Branoduno.
PM000103;Occidentis;1141;Gariannonor;tail;1;;unknown;praepositus;Praepositus;equitum stablesianorum Gariannonensium;Comes litoris Saxonici per Britanniam;Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam;Praepositus equitum stablesianorum Gariannonensium, Gariannonor.
PM000104;Occidentis;1142;Regulbio;tail;1;;unknown;tribunus;Tribunus;cohortis primae Baetasiorum;Comes litoris Saxonici per Britanniam;Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam;Tribunus cohortis primae Baetasiorum, Regulbio.
PM000105;Occidentis;1143;Rutupis;tail;1;;unknown;praefectus;Praefectus;legionis secundae Augustae;Comes litoris Saxonici per Britanniam;Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam;Praefectus legionis secundae Augustae, Rutupis.
PM000106;Occidentis;1144;Anderidos;tail;1;;unknown;praepositus;Praepositus;numeri Abulcorum;Comes litoris Saxonici per Britanniam;Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam;Praepositus numeri Abulcorum, Anderidos.
PM000107;Occidentis;1145;Portum Adurni;tail;1;;unknown;praepositus;Praepositus;numeri exploratorum;Comes litoris Saxonici per Britanniam;Sub dispositione viri spectabilis comitis litoris Saxonici per Britanniam;Praepositus numeri exploratorum, Portum Adurni.
PM000108;Occidentis;1173;Columnatensis;limes;1;;unknown;praepositus;Praepositus;limitis Columnatensis;Dux et praeses provinciae Mauritaniae;Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis;Praepositus limitis Columnatensis.
PM000109;Occidentis;1174;Vidensis;limes;1;;unknown;praepositus;Praepositus;limitis Vidensis;Dux et praeses provinciae Mauritaniae;Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis;Praepositus limitis Vidensis.
PM000110;Occidentis;1175;inferioris;limes;1;;unknown;praepositus;Praepositus;limitis inferioris;Dux et praeses provinciae Mauritaniae;Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis;Praepositus limitis inferioris.
PM000111;Occidentis;1176;Fortensis;limes;1;;unknown;praepositus;Praepositus;limitis Fortensis;Dux et praeses provinciae Mauritaniae;Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis;Praepositus limitis Fortensis.
PM000112;Occidentis;1177;Muticitani;limes;1;;unknown;praepositus;Praepositus;limitis Muticitani;Dux et praeses provinciae Mauritaniae;Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis;Praepositus limitis Muticitani.
PM000113;Occidentis;1178;Audiensis;limes;1;;unknown;praepositus;Praepositus;limitis Audiensis;Dux et praeses provinciae Mauritaniae;Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis;Praepositus limitis Audiensis.
PM000114;Occidentis;1179;Caputcellensis;limes;1;;unknown;praepositus;Praepositus;limitis Caputcellensis;Dux et praeses provinciae Mauritaniae;Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis;Praepositus limitis Caputcellensis.
PM000115;Occidentis;1180;Augustensis;limes;1;;unknown;praepositus;Praepositus;limitis Augustensis;Dux et praeses provinciae Mauritaniae;Sub dispositione viri spectabilis ducis et praesidis provinciae Mauritaniae et Caesariensis;Praepositus limitis Augustensis.
PM000116;Occidentis;1195;Talalatensis;limes;1;;unknown;praepositus;Praepositus;limitis Talalatensis;Dux provinciae Tripolitanae;Sub dispositione viri spectabilis ducis provinciae Tripolitanae;Praepositus limitis Talalatensis.
PM000117;Occidentis;1196;Tenthettani;limes;1;;unknown;praepositus;Praepositus;limitis Tenthettani;Dux provinciae Tripolitanae;Sub dispositione viri spectabilis ducis provinciae Tripolitanae;Praepositus limitis Tenthettani.
PM000118;Occidentis;1197;Bizerentane;limes;1;;unknown;praepositus;Praepositus;limitis Bizerentane;Dux provinciae Tripolitanae;Sub dispositione viri spectabilis ducis provinciae Tripolitanae;Praepositus limitis Bizerentane.
PM000119;Occidentis;1198;Tillibarensis;limes;1;;unknown;praepositus;Praepositus;limitis Tillibarensis;Dux provinciae Tripolitanae;Sub dispositione viri spectabilis ducis provinciae Tripolitanae;Praepositus limitis Tillibarensis.
