pleiadesId,romanized,attested,language,nameType
49835,Abour,,,geographic
897698,Abourene,,,geographic
240847,Abourica,,,geographic
614575,Abozenos,,,geographic
265764,Abra,,,geographic
89093,Abraouannos,,,geographic
609289,Abrettene,,,geographic
69518,Abrincas,,,geographic
69518,Abrincatui,,,geographic
59691,Abritai,,,geographic
216688,Abritus,,,geographic
483957,Abroi,,,geographic
614576,Abrostola,,,geographic
344282,Abrotonum,,,geographic
857032,Absarus,,,geographic
321633,Absasallensis,,,geographic
737015,Abshay,,,geographic
737027,Absug,,,geographic
314843,Abthugni,,,geographic
314843,Abthungi,,,geographic
737011,Abtuga,,,geographic
786021,Abu,,,geographic
641191180,Abu Dhabi,,de,geographic
641191180,Abu Dhabi,,en,geographic
912950,Abu Salabikh,,de,geographic
912950,Abu Salabikh,,en,geographic
195443086,"Abu Sir, Abusir",ابوصير,ar,geographic
912845,Abu Šahrain,,,geographic
252172,Abuca,,,geographic
236329,Abulobrica,,,geographic
118539,Abusina,,,geographic
756536,Abutig,,,geographic
446207,Abydon,,,geographic
494527,Abydon,,,geographic
501325,Abydos,,,geographic
501325,Abydos,,grc,geographic
756512,Abydos,,,geographic
39264,Abyssa,,,geographic
834277,Abzoae,,,geographic
894082,"Abū Dulaf Moschee, Abu Dulaf Mosque",,arb,geographic
912845,Abū Šahrain,,,geographic
583777189,Abū Ṣalābiḫ,,,geographic
583777189,Abū Ṣalābīḫ,,arb,geographic
912950,"Abū Ṣalābīḫ, Abu Salabikh",,arb,geographic
641191180,Abū Ẓaby,,,geographic
641191180,"Abū Ẓabī, Abu Zabi, Abu Zaby, Abu Zabiy",,arb,geographic
844847,Abṓnou teîchos,Ἀβώνου τεῖχος,grc,geographic
373727,Acabis,,,geographic
874295,Acachia,,,geographic
668177,Acadama,,,geographic
59702,Acadira,,,geographic
442432,Acalander,,,geographic
857015,Acampseon,Acampseon,la,geographic
606267,Acanthus,,,geographic
507362,Acantion,,,geographic
530767,Acarnania,,,geographic
265784,Acatucci,,,geographic
