placeId,placeName,nodeType,office,unit,chapter,document
PLC00230,Procolitia,unknown,Tribunus,cohortis primae Batavorum,Dux Britanniarum,Occidentis
PLC00286,prope Tungros Germaniae secundae,unknown,Praefectus,laetorum Lagensium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00035,provinciae Tripolitanae,civil,,Procurator bafii Girbitani,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00026,provinciae Viennensis,civil,,Procurator gynaecii Arelatiensis,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00406,Psinaula,ala,,Ala secunda Herculia dromedariorum,Dux Thebaidos,Oriens
PLC00299,Quadratis et Eporizio,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00155,Quadrato,equites,,Equites Mauri,Dux Pannoniae primae,Occidentis
PLC00140,quadriborgio,unknown,Tribunus,cohortis,Dux provinciae Valeriae,Occidentis
PLC00149,Quadriburgio,equites,,Equites sagittarii,Dux Pannoniae primae,Occidentis
PLC00336,quam civilium,unknown,,"Omnis dignitatum et amministrationum notitia, tam militarium",Primicerius notariorum,Oriens
PLC00342,qui adorata clementia principali cum insignibus exit transacto biennio,unknown,,Principem de scola agentum in rebus ducenarium,Proconsul Achaiae,Oriens
PLC00377,qui adorata clementia principalis cum insignibus exit,unknown,,Principem de scola agentum in rebus ducenarium,Comes limitis Aegypti,Oriens
PLC00649,qui completa militia adorat protector,unknown,,Principem de eodem officio,Dux Moesiae primae,Oriens
PLC00620,qui completa militia adorat protector,unknown,,Principem de eodem officio,Dux Moesiae secundae,Oriens
PLC00596,qui completa militia adorat protector,unknown,,Principem de eodem officio,Dux Scythiae,Oriens
PLC00677,qui completa militia adoratÝprotector,unknown,,Principem de eodem officio,Dux Daciae ripensis,Oriens
PLC00343,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,unknown,,Principem,Comes Orientis,Oriens
PLC00344,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,unknown,,Principem,Praefectus Augustalis,Oriens
PLC00345,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit,unknown,,Principem,Vicarius dioceseos Asianae,Oriens
PLC00346,qui de scola agentum in rebus ducenarius adorata clementia principali cum insignibus exit transacto biennio,unknown,,Principem,Vicarius dioceseos Ponticae,Oriens
PLC00347,qui de scola agentum in rebus est,unknown,,Principem,Vicarius dioceseos Thraciarum,Oriens
PLC00314,qui numerarii fiunt,unknown,,Primiscrinios,Insignia viri illustris magisteri militum per Thracias,Oriens
PLC00315,qui numerarii fiunt,unknown,,Primiscrinios,Insignia viri illustris magistri militum per Illyricum,Oriens
PLC00312,qui Numerarii fiunt,unknown,,Primiscrinios,Insignia viri illustris magistri militum praesentalis,Oriens
PLC00313,qui numerarii fiunt,unknown,,Primiscrinios,Insignia viri illustris magistri militum praesentalis,Oriens
PLC00329,qui primicerius est exceptorum,unknown,,Secundocerium offici,Insignia viri illustris comitis largitionum,Oriens
PLC00039,qui primicerius est exceptorum,unknown,,Secundicerium officii,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00330,qui tractat bastagas,unknown,,Tertiocerium offici,Insignia viri illustris comitis largitionum,Oriens
PLC00040,qui tractat bastagas,unknown,,Tertiocerium officii,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00307,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,unknown,,Exceptores et reliquos cohortalinos,Consularis Campaniae,Occidentis
PLC00678,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,unknown,,Exceptores et ceteros cohortalinos,Consularis Palaestinae,Oriens
PLC00308,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,unknown,,Exceptores et ceteros cohortalinos,Corrector Apuliae et Calabriae,Occidentis
PLC00309,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,unknown,,Exceptores et reliquos cohortalinos,Praeses Dalmatiae,Occidentis
PLC00679,quibus non licet ad aliam transire militiam sine annotatione clementiae principalis,unknown,,Exceptores et ceteros cohortalinos,Praeses Thebaidos,Oriens
PLC00184,Quintanis,unknown,Praefectus,alae primae Flaviae Raetorum,Dux Raetiae,Occidentis
PLC00019,Raetiae secundae,unknown,Praepositus,thesaurorum Augustae Vindelicensis,Insignia viri illustris comitis sacrarum largitionum,Occidentis
PLC00501,Rasin,equites,,Equites primi Osrhoeni,Dux Osrhoenae,Oriens
PLC00673,Ratiaria,unknown,Praefectus,legionis tertiaedecimae geminae,Dux Daciae ripensis,Oriens
PLC00261,Ravennae,unknown,Praefectus,classis Ravennatium cum curis eiusdem civitatis,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00260,Ravennae,unknown,Praefectus,militum iuniorum Italicorum,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00280,Redonas Lugdensis tertiae,unknown,Praefectus,laetorum Francorum,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00297,Regionis Samnitis,unknown,Praefectus,Sarmatarum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00061,Regulbio,unknown,Tribunus,cohortis primae Baetasiorum,Comes litoris Saxonici per Britanniam,Occidentis
PLC00285,Remo et Silvanectas Belgicae secundae,unknown,Praefectus,laetorum gentilium,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis
PLC00439,Rene,ala,,Ala prima Foenicum,Dux Foenicis,Oriens
PLC00507,Resaia,ala,,Ala prima Parthorum,Dux Osrhoenae,Oriens
PLC00513,Resain - Theodosiopoli,equites,,Equites promoti Illyriciani,Dux Mesopotamiae,Oriens
PLC00081,Ricti,equites,,Equites Dalmatae,Dux Pannoniae,Occidentis
PLC00359,Rinocoruna,ala,,Ala veterana Gallorum,Comes limitis Aegypti,Oriens
