placeId,sourceNodeId,occurrenceId,placeName,pleiadesId,pleiadesName,latitude,longitude,featureType,document,chapter,office,unit,sourceLine,matchType,confidence,contextStatus,gisProvince,expectedProvince,hardProvince,softProvince,region
OCC000121,,OCC000121,Maccomadensis,363959,Macomades,31.205047,16.588337,unknown,Occidentis,Dux provinciae Tripolitanae,Praepositus,limitis Maccomadensis,1200,CONTEXT_EXACT,confirmed,SOFT_MATCH,TRIPOLITANA,Tripolitanae,,Tripolitanae,
OCC000127,,OCC000127,Leptitanis,344448,Lepcitani,32.636748,14.2922,unknown,Occidentis,Dux provinciae Tripolitanae,,Milites Fortenses in castris Leptitanis,1206,CONTEXT_EXACT,confirmed,SOFT_MATCH,TRIPOLITANA,Tripolitanae,,Tripolitanae,
OCC000130,,OCC000130,Cornacii,197227,Cornacum,45.295094,19.09733,unknown,Occidentis,Dux Pannoniae,,Cuneus equitum scutariorum,1223,,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000132,,OCC000132,Burgenas,207001,Burgenae,44.949991,20.283336,unknown,Occidentis,Dux Pannoniae,,Cuneus equitum Constantianorum,1225,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000134,,OCC000134,Aciminci,206874,Acumincum,45.13739,20.260639,unknown,Occidentis,Dux Pannoniae,,Cuneus equitum constantium,1227,,confirmed,SOFT_NEAR_MATCH,,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000139,,OCC000139,Cornaco,197227,Cornacum,45.295094,19.09733,unknown,Occidentis,Dux Pannoniae,,Equites Dalmatae,1232,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000142,,OCC000142,Cusi,207061,Cusum,45.252328,19.861946,unknown,Occidentis,Dux Pannoniae,,Equites Dalmatae,1235,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000145,,OCC000145,Burgentas,207001,Burgenae,44.949991,20.283336,unknown,Occidentis,Dux Pannoniae,,Equites Dalmatae,1238,,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000146,,OCC000146,Tauruno,207488,Taurunum,44.835966,20.411502,unknown,Occidentis,Dux Pannoniae,,Equites promoti,1239,EXACT_NO_CONTEXT,confirmed,SOFT_MISMATCH,MOESIA SUPERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
OCC000150,,OCC000150,Onagrino,207320,Onagrinum,45.236152,19.624394,unknown,Occidentis,Dux Pannoniae,,Auxilia Augustensia,1242,CONTEXT_EXACT,confirmed,SOFT_MATCH,PANNONIA INFERIOR,Pannoniae secundae ripariensis et Saviae,,Pannoniae secundae ripariensis et Saviae,
