occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText
OCC000061,Occidentis,Insignia viri illustris comitis sacrarum largitionum,817,Salonitani,unit,Procurator,bafii Salonitani,Dalmatiae,,Dalmatiae,,Dalmatiae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum
OCC000062,Occidentis,Insignia viri illustris comitis sacrarum largitionum,818,Cissensis,unit,Procurator,bafii Cissensis,Venetiae et Histriae,,Venetiae et Histriae,,Venetiae et Histriae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum
OCC000063,Occidentis,Insignia viri illustris comitis sacrarum largitionum,819,Syracusani,unit,Procurator,bafii Syracusani,Siciliae,,Siciliae,,Siciliae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum
OCC000064,Occidentis,Insignia viri illustris comitis sacrarum largitionum,821,Girbitani,unit,Procurator,bafii Girbitani,Tripolitanae,,Tripolitanae,,Tripolitanae,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum
OCC000065,Occidentis,Insignia viri illustris comitis sacrarum largitionum,822,insularum Balearum,unit,Procurator,bafii insularum Balearum,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum
OCC000066,Occidentis,Insignia viri illustris comitis sacrarum largitionum,823,Telonensis,unit,Procurator,bafii Telonensis,,,,,,Galliarum,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum
OCC000067,Occidentis,Insignia viri illustris comitis sacrarum largitionum,824,Narbonensis,unit,Procurator,bafii Narbonensis,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Procuratores bafiorum
OCC000068,Occidentis,Insignia viri illustris comitis sacrarum largitionum,826,Arelatensium,unit,Praepositus,branbaricariorum siue argentariorum Arelatensium,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi branbaricariorum siue argentariorum
OCC000069,Occidentis,Insignia viri illustris comitis sacrarum largitionum,827,Remensium,unit,Praepositus,branbaricariorum siue argentariorum Remensium,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi branbaricariorum siue argentariorum
OCC000070,Occidentis,Insignia viri illustris comitis sacrarum largitionum,828,Triberorum,unit,Praepositus,branbaricariorum siue argentariorum Triberorum,,,,,,,Insignia viri illustris comitis sacrarum largitionum / Insignia viri illustris comitis sacrarum largitionum / Praepositi branbaricariorum siue argentariorum
OCC000071,Occidentis,Insignia viri illustris comitis privatarum,877,Triberorum,unit,Procurator,rei privatae gynaeciorum Triberorum,,,,,,,Insignia viri illustris comitis privatarum / Insignia viri illustris comitis privatarum / Sub dispositione viri illustris comitis rerum privatarum
OCC000072,Occidentis,Insignia viri illustris comitis privatarum,878,Viuarensis,unit,Procurator,gynaecei Viuarensis rei privatae Metti translata anhelat,,,,,,,Insignia viri illustris comitis privatarum / Insignia viri illustris comitis privatarum / Sub dispositione viri illustris comitis rerum privatarum
OCC000073,Occidentis,Comes Africae,1079,Thamallensis,limes,Praepositus,limitis Thamallensis,,,,,,,Comes Africae / Comes Africae / Sub dispositione viri spectabilis comitis Africae / Limitanei
