occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText,candidateRank,pleiadesId,pleiadesName,candidate,rule,tier,latitude,longitude,featureType,gisProvince,geojsonId,nearestProvince,nearestGeojsonId,nearestKm,nameSimilarity,contextStatus,contextScore,similarity
OCC000279,Occidentis,Dux Britanniarum,1471,Praesidio,tail,Praefectus,equitum Dalmatarum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Sub dispositione viri spectabilis ducis Britanniarum,2,344461,Praesidium,Praesidium,original_case,0,32.5,10.5,unknown,TRIPOLITANA,4,,,,1.0,SOFT_MISMATCH,0.364,1.000
OCC000279,Occidentis,Dux Britanniarum,1471,Praesidio,tail,Praefectus,equitum Dalmatarum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Sub dispositione viri spectabilis ducis Britanniarum,3,256386,Praesidium,Praesidium,original_case,0,37.30244,-7.133488,settlement,BAETICA,25,,,,1.0,SOFT_MISMATCH,0.333,1.000
OCC000279,Occidentis,Dux Britanniarum,1471,Praesidio,tail,Praefectus,equitum Dalmatarum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Sub dispositione viri spectabilis ducis Britanniarum,4,236617,Praesidium,Praesidium,original_case,0,42.5,-7.5,unknown,GALLAECIA,69,,,,1.0,SOFT_MISMATCH,0.222,1.000
OCC000279,Occidentis,Dux Britanniarum,1471,Praesidio,tail,Praefectus,equitum Dalmatarum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Sub dispositione viri spectabilis ducis Britanniarum,5,746796,Praesidio,Praesidio,original,0,29.667258,35.261064,unknown,,,PALAESTINA,11,14.73,1.0,SOFT_NEAR_MISMATCH,0.111,1.000
OCC000302,Occidentis,Dux Britanniarum,1495,Magnis,tail,Tribunus,cohortis secundae Dalmatarum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Item per lineam Valli,1,79587,Magnis,Magnis,original,0,52.081307,-2.821946,unknown,BRITANNIAE I AND II,96,,,,1.0,SOFT_MATCH,1.000,1.000
OCC000302,Occidentis,Dux Britanniarum,1495,Magnis,tail,Tribunus,cohortis secundae Dalmatarum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Item per lineam Valli,2,89238,Magnis,Magnis,original,0,54.984863,-2.52422,unknown,BRITANNIAE I AND II,96,,,,1.0,SOFT_MATCH,1.000,1.000
OCC000316,Occidentis,Dux Mogontiacensis,1523,Tabernis,tail,Praefectus,militum Menapiorum,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis,1,109361,Tabernae,Tabernae,original_case,0,49.668682,6.5162051,unknown,BELGICA I,92,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000316,Occidentis,Dux Mogontiacensis,1523,Tabernis,tail,Praefectus,militum Menapiorum,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis,2,109362,Tabernae,Tabernae,original_case,0,49.119313,8.278086,unknown,GERMANIA I,93,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000316,Occidentis,Dux Mogontiacensis,1523,Tabernis,tail,Praefectus,militum Menapiorum,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis,3,275729,Tabernae,Tabernae,original_case,0,35.333689,-5.981627,unknown,MAURETANIA TINGITANA,14,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000318,Occidentis,Dux Mogontiacensis,1525,Nemetis,tail,Praefectus,militum vindicum,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis,1,109224,Nemetae,Nemetae,original_case,0,49.317282,8.430994,unknown,,,GERMANIA I,93,1.25,1.0,NO_POLYGON,0.000,1.000
OCC000318,Occidentis,Dux Mogontiacensis,1525,Nemetis,tail,Praefectus,militum vindicum,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis,2,109196,Nemetes,Nemetes,original_case,0,49.5,7.5,unknown,BELGICA I,92,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000319,Occidentis,Dux Mogontiacensis,1526,Alta Ripa,tail,Praefectus,militum Martensium,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis,1,108735,Alta Ripa,Alta Ripa,original,0,49.431501,8.498955,unknown,GERMANIA I,93,,,,1.0,NO_CONTEXT,0.000,1.000
OCC000319,Occidentis,Dux Mogontiacensis,1526,Alta Ripa,tail,Praefectus,militum Martensium,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis,2,197109,Alta Ripa,Alta Ripa,original,0,46.423606,18.790249,unknown,,,VALERIA,85,3.41,1.0,NO_POLYGON,0.000,1.000
OCC000335,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1560,Calaronae,tail,Tribunus,cohortis primae Flaviae Sapaudicae,Riparensi,,Riparensi,,Riparensi,GALLIAE,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / In Gallia / In provincia Riparensi,1,682534,Calamona,Calarona,original_case,0,,,unknown,,,,,,0.875,REGION_UNVERIFIED,0.000,0.875
OCC000335,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1560,Calaronae,tail,Tribunus,cohortis primae Flaviae Sapaudicae,Riparensi,,Riparensi,,Riparensi,GALLIAE,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / In Gallia / In provincia Riparensi,2,699894,Calamona,Calarona,original_case,0,,,unknown,,,,,,0.875,REGION_UNVERIFIED,0.000,0.875
OCC000343,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1573,Brigantiae,tail,Tribunus,cohortis Celtiberae,Callaecia,,Callaecia,,Callaecia,HISPANIA,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / Hispaniae / In provincia Callaecia,1,167690,Brigantio,Brigantiae,original,0,45.532064,6.473626,settlement,ALPES GRAIAE ET POENINAE,75,,,,0.8888888888888888,HARD_MISMATCH,0.375,0.889
