placeName,candidate,candidateType,chapter,document,office,unit
Carnunta Senoniae Lugdunensis,Carnunta Senoniae Lugdunensis,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum Teutonicianorum
Carnunto,Carnunto,Place,Dux Pannoniae primae,Occidentis,Praefectus,legionis quartaedecimaegeminae militum liburnariorum cohortis quintae partis superior
Carso,Carso,Place,Dux Scythiae,Oriens,,Milites Scythici
Castra Iudaeorum,Castra Iudaeorum,Place,Comes limitis Aegypti,Oriens,,Cohors prima Epireorum
Castrabarensis,Castrabarensis,Place,Comes Tingitaniae,Occidentis,Tribunus,cohortis primae Ityraeorum
Cebro,Cebro,Place,Dux Daciae ripensis,Oriens,,Cuneus equitum scutariorum
Cebro,Cebro,Place,Dux Daciae ripensis,Oriens,Praefectus,legionis quintae Macedonicae
Cefae,Cefae,Place,Dux Mesopotamiae,Oriens,Praefectus,legionis secundae Parthicae
Cefro,Cefro,Place,Comes limitis Aegypti,Oriens,,Cohors tertia Galatarum
Chenoboscia,Chenoboscia,Place,Dux Thebaidos,Oriens,,Ala Neptunia
Chermulae,Chermulae,Place,Dux Palaestinae,Oriens,,Equites scutarii Illyriciani
Cii,Cii,Place,Dux Scythiae,Oriens,,Cuneus equitum stablesianorum
Cilurno,Cilurno,Place,Dux Britanniarum,Occidentis,Praefectus,alae secundae Asturum
Circesio,Circesio,Place,Dux Osrhoenae,Oriens,Praefectus,legionis quartae Parthicae
Cirpe,Cirpe,Place,Dux provinciae Valeriae,Occidentis,,Auxilia Fortensia
Claudiana,Claudiana,Place,Dux Syriae,Oriens,,Cohors prima Ulpia Dacorum
balistaria et clibanaria,clibanaria,Place,Insignia viri illustris magistri officiorum,Occidentis,,Augustodunensis loricaria
Comagenis,Comagenis,Place,Dux Pannoniae primae,Occidentis,,Equites promoti
Conderco,Conderco,Place,Dux Britanniarum,Occidentis,Praefectus,alae primae Asturum
Confluentibus,Confluentibus,Place,Dux Mogontiacensis,Occidentis,Praefectus,militum defensorum
Confluentibus siue Brecantia,Confluentibus,Place,Dux Raetiae,Occidentis,Praefectus,numeri barbaricariorum
Congavata,Congavata,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis secundae Lingonum
Constantiae,Constantiae,Place,Dux provinciae Valeriae,Occidentis,,Equites Dalmatae
Baiocas et Constantiae Lugdunensis secundae,Constantiae Lugdunensis secundae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum Batavorum et gentilium Sueuorum
Copto,Copto,Place,Dux Thebaidos,Oriens,,Equites sagittarii indigenae
Copto,Copto,Place,Dux Thebaidos,Oriens,,Legio prima Valentiniana
Cornacii,Cornacii,Place,Dux Pannoniae,Occidentis,,Cuneus equitum scutariorum
Cornaco,Cornaco,Place,Dux Pannoniae,Occidentis,,Equites Dalmatae
Saradiniae et Corsicae,Corsicae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,"Rationalis summarum Trum provinciarum, id est Siciliae"
Cremonae,Cremonae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Crispitia,Crispitia,Place,Dux Daciae ripensis,Oriens,,Auxilium Crispitiense
Crumero,Crumero,Place,Dux provinciae Valeriae,Occidentis,,Equites promoti
Cuccis,Cuccis,Place,Dux Pannoniae,Occidentis,,Cuneus equitum promotorum
Cuccis,Cuccis,Place,Dux Pannoniae,Occidentis,,Equites sagittarii
Cuppis,Cuppis,Place,Dux Moesiae primae,Oriens,,Auxilium Cuppense
Cuppis,Cuppis,Place,Dux Moesiae primae,Oriens,,Cuneus equtum Dalmatarum
Cuppis,Cuppis,Place,Dux Moesiae primae,Oriens,Praefectus,legionis septimae Claudiae
Cusi,Cusi,Place,Dux Pannoniae,Occidentis,,Equites Dalmatae
Dalmatiae,Dalmatiae,Province,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator bafii Salonitani
Dalmatiae,Dalmatiae,Province,Insignia viri illustris comitis sacrarum largitionum,Occidentis,Praepositus,thesaurorum Salonitanorum
Dalmatiae et Saviae,Dalmatiae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Rationalis summarum Pannoniae secundae
Damasci,Damasci,Place,Insignia viri illustris magistri officiorum,Oriens,,Scutaria et armorum
Danaba,Danaba,Place,Dux Foenicis,Oriens,Praefectus,legionis tertiae Gallicae
Dano,Dano,Place,Dux Britanniarum,Occidentis,Praefectus,equitum Crispianorum
Deruentione,Deruentione,Place,Dux Britanniarum,Occidentis,Praefectus,numeri supervenientium Petueriensium
Dicti,Dicti,Place,Dux Britanniarum,Occidentis,Praefectus,numeri Neruiorum Dictensium
Dimo,Dimo,Place,Dux Moesiae secundae,Oriens,,Cuneus equitum Solensium
Dionisiada,Dionisiada,Place,Comes limitis Aegypti,Oriens,,Ala quinta Praelectorum
Diospoli,Diospoli,Place,Dux Thebaidos,Oriens,,Cohors septima Francorum
Diospoli,Diospoli,Place,Dux Thebaidos,Oriens,,Equites sagittarii indigenae
Dirigothia,Dirigothia,Place,Dux Scythiae,Oriens,,Milites Scythici
Dortico,Dortico,Place,Dux Daciae ripensis,Oriens,,Cuneus equitum Dalmatarum Divitensium
Dubris,Dubris,Place,Comes litoris Saxonici per Britanniam,Occidentis,Praepositus,militum Tungrecanorum
Duga,Duga,Place,Comes Tingitaniae,Occidentis,Tribunus,cohortis secundae Hispanorum
Duodecimo constituta,Duodecimo constituta,Place,Dux Osrhoenae,Oriens,,Ala prima salutaria
Durostoro,Durostoro,Place,Dux Moesiae secundae,Oriens,,Milites quarti Constantiani
Durostoro,Durostoro,Place,Dux Moesiae secundae,Oriens,Praefectus,legionis undecimae Claudiae
Ebruduni Sapaudiae,Ebruduni Sapaudiae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,classis barcariorum
Edesa,Edesa,Place,Insignia viri illustris magistri officiorum,Oriens,,Scutaria et armamentaria
Quadratis et Eporizio,Eporizio,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Epuso Belgicae primae,Epuso Belgicae primae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum Actorum
Euhari,Euhari,Place,Dux Foenicis,Oriens,,Equites scutarii Illyriciani
Fafianae,Fafianae,Place,Dux Pannoniae primae,Occidentis,Praefectus,legionis liburnariorum primorum Noricorum
Fanomantis Belgicae secundae,Fanomantis Belgicae secundae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum Neruiorum
Dia - Fenis,Fenis,Place,Dux Arabiae,Oriens,,Equites sagittarii indigenae
Filas,Filas,Place,Dux Thebaidos,Oriens,,Legio prima Maximiana
Flexo,Flexo,Place,Dux Pannoniae primae,Occidentis,,Cuneus equitum Dalmatarum
Flexo,Flexo,Place,Dux Pannoniae primae,Occidentis,,Equites promoti
Florentiae,Florentiae,Place,Dux provinciae Valeriae,Occidentis,,Equites Dalmatae
Florentiae,Florentiae,Place,Dux provinciae Valeriae,Occidentis,Praefectus,classis Histricae
Florentiae,Florentiae,Place,Dux provinciae Valeriae,Occidentis,Praefectus,legionis secundae adiutricis partis inferioris
Foenicionis,Foenicionis,Place,Dux Thebaidos,Oriens,,Ala octava Palmyrenorum
Foetibus,Foetibus,Place,Dux Raetiae,Occidentis,Praefectus,legionis tertiae Italicae transvectioni specierum deputatae
Foro Fuluiensi,Foro Fuluiensi,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Gabrosenti,Gabrosenti,Place,Dux Britanniarum,Occidentis,Tribunus,cohortis secundae Thracum
Galliarum,Galliarum,Region,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator bafii Telonensis
Galliarum,Galliarum,Region,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator linyfii Viennensis
Gariannonor,Gariannonor,Place,Comes litoris Saxonici per Britanniam,Occidentis,Praepositus,equitum stablesianorum Gariannonensium
Gerolate,Gerolate,Place,Dux Pannoniae primae,Occidentis,,Equites sagittarii
Gomoha,Gomoha,Place,Dux Arabiae,Oriens,,Ala sexta Hispanorum
Graio,Graio,Place,Dux Pannoniae,Occidentis,Praefectus,classis secundae Flaviae
Grannona in litore Saxonico,Grannona in litore Saxonico,Place,Dux tractus Armoricani,Occidentis,Tribunus,cohortis primae novae Armoricanae
Grannono,Grannono,Place,Dux tractus Armoricani,Occidentis,Praefectus,militum Grannonensium
Guntiae,Guntiae,Place,Dux Raetiae,Occidentis,Praefectus,militum Ursariensium
Hadrianopolis Haemimonti,Hadrianopolis Haemimonti,Place,Insignia viri illustris magistri officiorum,Oriens,,Scutaria et armorum
Hauanae,Hauanae,Place,Dux Palaestinae,Oriens,,Equites sagittarii indigenae
Hermunthi,Hermunthi,Place,Dux Thebaidos,Oriens,,Legio secunda Valentiniana
Hermupoli,Hermupoli,Place,Dux Thebaidos,Oriens,,Cuneus equitum scutariorum
Hibeos - Oaseos maioris,Hibeos,Place,Dux Thebaidos,Oriens,,Ala prima Abasgorum
Hipponos,Hipponos,Place,Comes limitis Aegypti,Oriens,,Ala Apriana
Venetiae et Histriae,Histriae,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator bafii Cissensis
Iehibo,Iehibo,Place,Dux Palaestinae,Oriens,,Cohors secunda Gratiana
Inplateypegiis,Inplateypegiis,Place,Dux Scythiae,Oriens,,et secundae Herculiae musculorum Scythicorum et classis
Ioviaco,Ioviaco,Place,Dux Pannoniae primae,Occidentis,Praefectus,legionis secundae Italicae militum liburnariorum
Iprosmis,Iprosmis,Place,Dux Scythiae,Oriens,Praefectus,ripae legionis secundae Herculiae cohortis quintae pedaturae inferioris
Italiae,Italiae,Region,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator linyfii Ravennatis
Lacufelicis,Lacufelicis,Place,Dux Pannoniae primae,Occidentis,,Equites sagittarii
Laedemata,Laedemata,Place,Dux Moesiae primae,Oriens,Praefectus,militum Vincentiensium
Laedenatae,Laedenatae,Place,Dux Moesiae primae,Oriens,,Cuneus equtum sagittariorum
Lapurdo,Lapurdo,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Tribunus,cohortis Noevempopulanae
Lataui,Lataui,Place,Dux Foenicis,Oriens,,Equites Dalmatae Illyriciani
Latius,Latius,Place,Dux Moesiae secundae,Oriens,,Cuneus equitum scutariorum
Lauriaco,Lauriaco,Place,Dux Pannoniae primae,Occidentis,Praefectus,legionis secundae Italicae
Lavatres,Lavatres,Place,Dux Britanniarum,Occidentis,Praefectus,numeri exploratorum
Legione,Legione,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,legionis septimae geminae
Lemannis,Lemannis,Place,Comes litoris Saxonici per Britanniam,Occidentis,Praepositus,numeri Turnacensium
Lentiae,Lentiae,Place,Dux Pannoniae primae,Occidentis,,Equites sagittarii
Lentiae,Lentiae,Place,Dux Pannoniae primae,Occidentis,Praefectus,legionis secundae Italicae partis inferioris
Leonatae,Leonatae,Place,Dux Pannoniae,Occidentis,Tribunus,cohortis primae Ioviae
Lico,Lico,Place,Dux Thebaidos,Oriens,,Cuneus equitum Maurorum scutariorum
Liguriae,Liguriae,Province,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,Procurator gynaecii Mediolanensis
Liguriae,Liguriae,Province,Insignia viri illustris comitis sacrarum largitionum,Occidentis,Praepositus,thesaurorum Mediolanensium
Lingonas,Lingonas,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Longovicio,Longovicio,Place,Dux Britanniarum,Occidentis,Praefectus,numeri Longovicanorum
Luco,Luco,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Tribunus,cohortis Lucensis
Luguvallii,Luguvallii,Place,Dux Britanniarum,Occidentis,,........................
Lussonio,Lussonio,Place,Dux provinciae Valeriae,Occidentis,,Equites Dalmatae
Lussonio,Lussonio,Place,Dux provinciae Valeriae,Occidentis,Praefectus,legionis secundae adiutricis
Maiocariri,Maiocariri,Place,Dux Mesopotamiae,Oriens,,Cohors quartadecima Valeria Zabdenorum
Mannatias,Mannatias,Place,Dux tractus Armoricani,Occidentis,Praefectus,militum superventorum
Marcianopoli,Marcianopoli,Place,Insignia viri illustris magistri officiorum,Oriens,,Scutaria et armorum
Marcis in litore Saxonico,Marcis in litore Saxonico,Place,Dux Belgicae secundae,Occidentis,,Equites Dalmatae
Margo,Margo,Place,Dux Moesiae primae,Oriens,,Auxilium Margense
Margo,Margo,Place,Dux Moesiae primae,Oriens,Praefectus,classis Stradensis et Germensis
Marinanae,Marinanae,Place,Dux provinciae Valeriae,Occidentis,Tribunus,cohortis
Marmantharum,Marmantharum,Place,Dux Syriae,Oriens,,Cohors tertia Valeria
Massiliae Graecorum,Massiliae Graecorum,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,militum musculariorum
Matrice,Matrice,Place,Dux provinciae Valeriae,Occidentis,,Equites promoti
Matthana,Matthana,Place,Dux Syriae,Oriens,,Equites sagittarii indigenae
Maximianopoli,Maximianopoli,Place,Dux Thebaidos,Oriens,,Ala tertia dromedariorum
Maximianopoli,Maximianopoli,Place,Dux Thebaidos,Oriens,,Equites sagittarii indigenae
Mediolana,Mediolana,Place,Dux Moesiae secundae,Oriens,,Milites Dacisci
Mefa,Mefa,Place,Dux Arabiae,Oriens,,Equites promoti indigenae
Mefana - Cartha,Mefana,Place,Dux Mesopotamiae,Oriens,,Equites sagittarii indigenae Arabanenses
Memfi,Memfi,Place,Comes limitis Aegypti,Oriens,,Legio quinta Macadonica
Menochiae,Menochiae,Place,Dux Palaestinae,Oriens,,Equites promoti Illyriciani
Miseno,Miseno,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,classis Misenatium
Mogontiaco,Mogontiaco,Place,Dux Mogontiacensis,Occidentis,Praefectus,militum armigerorum
Moleaatha,Moleaatha,Place,Dux Palaestinae,Oriens,,Cohors prima Flavia
Monte Iovis,Monte Iovis,Place,Dux Foenicis,Oriens,,Ala prima Damascena
Morbio,Morbio,Place,Dux Britanniarum,Occidentis,Praefectus,equitum catafractariorum
Mursae,Mursae,Place,Dux Pannoniae,Occidentis,Praefectus,classis Histricae
Muson,Muson,Place,Comes limitis Aegypti,Oriens,,Cohors secunda Thracum
Mutheos,Mutheos,Place,Dux Thebaidos,Oriens,,Cohors scutata civium Romanorum
Naarsafari,Naarsafari,Place,Dux Arabiae,Oriens,,Ala secunda Miliarensis
Naithu,Naithu,Place,Comes limitis Aegypti,Oriens,,Cohors prima sagittariorum
Narmunthi,Narmunthi,Place,Comes limitis Aegypti,Oriens,,Cohors quarta Numidarum
Neia,Neia,Place,Dux Foenicis,Oriens,,Ala prima Alamannorum
Nemetis,Nemetis,Place,Dux Mogontiacensis,Occidentis,Praefectus,militum vindicum
Neocaesereae,Neocaesereae,Place,Dux Syriae,Oriens,,Equites Mauri Illyriciani
Nicomediae,Nicomediae,Place,Insignia viri illustris magistri officiorum,Oriens,,Clibanaria
Nicomediae,Nicomediae,Place,Insignia viri illustris magistri officiorum,Oriens,,Scutaria et armorum
Nitnu,Nitnu,Place,Dux Thebaidos,Oriens,,Cohors nona Tzanorum
Norici mediterranei et ripensis,Norici mediterranei,Place,Insignia viri illustris comitis sacrarum largitionum,Occidentis,,"Rationalis summarum Pannoniae prima, Valeriae"
Nouas,Nouas,Place,Dux Moesiae secundae,Oriens,Praefectus,legionis primae Italicae
Nouas,Nouas,Place,Dux Moesiae secundae,Oriens,Praefectus,ripae legionis primae Italicae cohortis quintae pedaturae superioris
Nouioduno,Nouioduno,Place,Dux Scythiae,Oriens,Praefectus,legionis primae Ioviae
Nouioduno,Nouioduno,Place,Dux Scythiae,Oriens,Praefectus,ripae legionis primae Ioviae cohortis quintae pedaturae superioris
Nouioduro,Nouioduro,Place,Dux Scythiae,Oriens,,Milites primi Constantini
Novariae,Novariae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,Sarmatarum gentilium
Arsaciana siue Novas,Novas,Place,Dux Pannoniae,Occidentis,,Auxilia Novensia
Novas,Novas,Place,Dux Pannoniae,Occidentis,,Equites Dalmatae
Noviomago Belgicae secundae,Noviomago Belgicae secundae,Place,Item praepositurae magistri militum praesentalis a parte peditum,Occidentis,Praefectus,laetorum Batavorum Contraginnensium
Novis,Novis,Place,Dux Moesiae primae,Oriens,Praefectus,militum exploratorum
Hibeos - Oaseos maioris,Oaseos maioris,Place,Dux Thebaidos,Oriens,,Ala prima Abasgorum
Oasi maiore,Oasi maiore,Place,Dux Thebaidos,Oriens,,Ala prima Abasgorum
Oasi minore,Oasi minore,Place,Comes limitis Aegypti,Oriens,,Ala secunda Armeniorum
