occurrenceId,document,chapter,sourceLine,placeName,placeSource,office,unit,declaredProvince,explicitProvince,hardProvince,softProvince,expectedProvince,region,contextText
OCC000258,Occidentis,Dux Raetiae,1390,Pinianis,tail,Tribunus,cohortis quintae Valeriae Frygum,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000259,Occidentis,Dux Raetiae,1391,Caelio,tail,Tribunus,cohortis tertiae Herculeae Pannoniorum,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000260,Occidentis,Dux Raetiae,1393,Confluentibus,tail,Praefectus,numeri barbaricariorum,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000261,Occidentis,Dux Raetiae,1393,Brecantia,tail,Praefectus,numeri barbaricariorum,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000262,Occidentis,Dux Raetiae,1394,Vimania,tail,Praefectus,alae secundae Valeriae Sequanorum,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000263,Occidentis,Dux Raetiae,1395,Arbore,tail,Tribunus,cohortis Herculeae Pannoniorum,Raetiae primae et secundae,,,Raetiae primae et secundae,Raetiae primae et secundae,,Dux Raetiae / Dux Raetiae / Sub dispositione viri spectabilis ducis provinciae Raetiae primae et secundae
OCC000264,Occidentis,Dux provinciae Sequanici,1409,Olitione,tail,,Milites Latavienses,Sequanici,,,Sequanici,Sequanici,,Dux provinciae Sequanici / Dux provinciae Sequanici / Sub dispositione viri spectabilis ducis provinciae Sequanici
OCC000266,Occidentis,Dux tractus Armoricani,1424,Blabia,tail,Praefectus,militum Carronensium,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani
OCC000267,Occidentis,Dux tractus Armoricani,1425,Benetis,tail,Praefectus,militum Maurorum Benetorum,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani
OCC000269,Occidentis,Dux tractus Armoricani,1427,Mannatias,tail,Praefectus,militum superventorum,tractus Armoricani et Neruicani,,,tractus Armoricani et Neruicani,tractus Armoricani et Neruicani,,Dux tractus Armoricani / Dux tractus Armoricani / Sub dispositione viri spectabilis ducis tractus Armoricani et Neruicani
OCC000276,Occidentis,Dux Belgicae secundae,1453,Quartensi,tail,Praefectus,classis Sambricae,Balgicae secundae,,,Balgicae secundae,Balgicae secundae,,Dux Belgicae secundae / Dux Belgicae secundae / Sub dispositione viri spectabilis ducis Balgicae secundae
OCC000277,Occidentis,Dux Belgicae secundae,1453,Hornensi,tail,Praefectus,classis Sambricae,Balgicae secundae,,,Balgicae secundae,Balgicae secundae,,Dux Belgicae secundae / Dux Belgicae secundae / Sub dispositione viri spectabilis ducis Balgicae secundae
OCC000287,Occidentis,Dux Britanniarum,1479,Barboniaco,tail,Praefectus,numeri defensorum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Sub dispositione viri spectabilis ducis Britanniarum
OCC000290,Occidentis,Dux Britanniarum,1482,Longovicio,tail,Praefectus,numeri Longovicanorum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Sub dispositione viri spectabilis ducis Britanniarum
OCC000291,Occidentis,Dux Britanniarum,1483,Deruentione,tail,Praefectus,numeri supervenientium Petueriensium,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Sub dispositione viri spectabilis ducis Britanniarum
OCC000293,Occidentis,Dux Britanniarum,1486,Ponte Aeli,tail,Tribunus,cohortis primae Cornoviorum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Item per lineam Valli
OCC000298,Occidentis,Dux Britanniarum,1491,Procolitia,tail,Tribunus,cohortis primae Batavorum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Item per lineam Valli
OCC000299,Occidentis,Dux Britanniarum,1492,Borcovicio,tail,Tribunus,cohortis primae Tungrorum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Item per lineam Valli
OCC000303,Occidentis,Dux Britanniarum,1496,Amboglanna,tail,Tribunus,cohortis primae Aeliae Dacorum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Item per lineam Valli
OCC000305,Occidentis,Dux Britanniarum,1499,Aballaba,tail,Praefectus,numeri Maurorum Aurelianorum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Item per lineam Valli
OCC000309,Occidentis,Dux Britanniarum,1503,Tunnocelo,tail,Tribunus,cohortis primae Aeliae classicae,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Item per lineam Valli
OCC000312,Occidentis,Dux Britanniarum,1506,Bremetenraco,tail,,Cuneus Sarmatarum,Britanniarum,,,Britanniarum,Britanniarum,,Dux Britanniarum / Dux Britanniarum / Item per lineam Valli
OCC000315,Occidentis,Dux Mogontiacensis,1522,Saletione,tail,Praefectus,militum Pacensium,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis
OCC000317,Occidentis,Dux Mogontiacensis,1524,Vico Iulio,tail,Praefectus,militum Anderetianorum,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis
OCC000324,Occidentis,Dux Mogontiacensis,1531,Confluentibus,tail,Praefectus,militum defensorum,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis
OCC000325,Occidentis,Dux Mogontiacensis,1532,Antonaco,tail,Praefectus,militum Acincensium,Mogonticensis,,,Mogonticensis,Mogonticensis,,Dux Mogontiacensis / Dux Mogontiacensis / Sub dispositione viri spectabilis ducis Mogonticensis
OCC000332,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1557,Arelati,tail,Praefectus,classis fluminis Rhodani,Riparensi,,Riparensi,,Riparensi,GALLIAE,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / In Gallia / In provincia Riparensi
OCC000337,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1564,Caballoduno,tail,Praefectus,classis Araricae,Lugdunensi prima,,Lugdunensi prima,,Lugdunensi prima,GALLIAE,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / In Gallia / In provincia Lugdunensi prima
OCC000338,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1566,Parisius,tail,Praefectus,classis Anderetianorum,Lugdunensis Senonia,,Lugdunensis Senonia,,Lugdunensis Senonia,GALLIAE,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / In Gallia / In provincia Lugdunensis Senonia
OCC000339,Occidentis,Item praepositurae magistri militum praesentalis a parte peditum,1569,Legione,tail,Praefectus,legionis septimae geminae,Callaecia,,Callaecia,,Callaecia,HISPANIA,Item praepositurae magistri militum praesentalis a parte peditum / Item praepositurae magistri militum praesentalis a parte peditum / Hispaniae / In provincia Callaecia
