placeName,pleiadesId,pleiadesName,featureType,description,uri
Calabriae,442518,Calabria,unknown,Ancient Calabria comprised the southern part of Apulia and the Salento peninsula.,http://pleiades.stoa.org/places/442518
Calamona,682534,Calamona,unknown,"An ancient place, cited: BAtlas 69 unlocated Calamona",http://pleiades.stoa.org/places/682534
Calamona,699894,Calamona,unknown,"An ancient place, cited: BAtlas 71 unlocated Calamona",http://pleiades.stoa.org/places/699894
Cartha,699911,Cartha,unknown,"An ancient place, cited: BAtlas 71 unlocated Sartha/Cartha/Sirtha",http://pleiades.stoa.org/places/699911
Cimbrianis,203114,Cimbrianis,unknown,"An ancient place, cited: BAtlas 20 unlocated Cimbrianis",http://pleiades.stoa.org/places/203114
Constantia,682538,Constantia,unknown,"An ancient place, cited: BAtlas 69 unlocated Constantia/Constantine",http://pleiades.stoa.org/places/682538
Constantiae,682538,Constantia,unknown,"An ancient place, cited: BAtlas 69 unlocated Constantia/Constantine",http://pleiades.stoa.org/places/682538
Cusi,207062,Cusus,unknown,"An ancient place, cited: BAtlas 21 A2 Cusus fl.",http://pleiades.stoa.org/places/207062
Dano,79412,Danum,fort;,"A Roman auxiliary fort at present day Doncaster, cited: BAtlas 8 F1 Danum?",http://pleiades.stoa.org/places/79412
Dia - Fenis,543681,Dia,unknown,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",http://pleiades.stoa.org/places/543681
Dia - Fenis,573184,Dia,unknown,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",http://pleiades.stoa.org/places/573184
Dia - Fenis,599590,Dia,unknown,"An ancient place, cited: BAtlas 61 B4 Dia? Ins.",http://pleiades.stoa.org/places/599590
Dia - Fenis,767841,Dia,unknown,"An ancient island or island group, attested by literary or documentary sources, whose precise location cannot be determined today",http://pleiades.stoa.org/places/767841
Drasdea,222050,Drasdea,unknown,"An ancient place, cited: BAtlas 22 unlocated Drasdea",http://pleiades.stoa.org/places/222050
Ganaba,897770,Ganaba,unknown,"An ancient place, cited: BAtlas 91 unlocated Ganaba",http://pleiades.stoa.org/places/897770
Graio,203127,Graium,unknown,"An ancient place, cited: BAtlas 20 unlocated Graium",http://pleiades.stoa.org/places/203127
Grannona in litore Saxonico,138377,Grannona,unknown,"An ancient place, cited: BAtlas 14 C1 Grannona",http://pleiades.stoa.org/places/138377
Hasta,409224,Hasta,unknown,An unlocated road station in coastal Etruria.,http://pleiades.stoa.org/places/409224
Iovia,642530,Iovia,unknown,"An ancient place, cited: BAtlas 65 unlocated Iovia",http://pleiades.stoa.org/places/642530
Libona,699901,Libona,unknown,"An ancient place, cited: BAtlas 71 unlocated Libona",http://pleiades.stoa.org/places/699901
Magis,89237,Magis,unknown,"A Roman fort at modern-day Burrow Walls, probably to identified with the ancient placename ""Magis"" (BAtlas 9 D6 Magis?).",http://pleiades.stoa.org/places/89237
Maratha,40208,Maratha,unknown,"An ancient place, cited: BAtlas 4 unlocated Maratha",http://pleiades.stoa.org/places/40208
Maratha,573359,Maratha,unknown,"An ancient place, cited: BAtlas 58 unlocated Maratha",http://pleiades.stoa.org/places/573359
Maratha,876654,Maratha,unknown,"An ancient place, cited: BAtlas 89 unlocated Maratha",http://pleiades.stoa.org/places/876654
Mediana,674249,Mediana,unknown,"An ancient place, cited: BAtlas 68 unlocated Mediana/Meziana",http://pleiades.stoa.org/places/674249
Mediolana,172148,Mediolanum,unknown,"An ancient place, cited: BAtlas 17 unlocated *Mediolanum",http://pleiades.stoa.org/places/172148
Mediolana,222116,Mediolanum,unknown,"An ancient place, cited: BAtlas 22 unlocated Mediolanum",http://pleiades.stoa.org/places/222116
Mefana - Cartha,699911,Cartha,unknown,"An ancient place, cited: BAtlas 71 unlocated Sartha/Cartha/Sirtha",http://pleiades.stoa.org/places/699911
Memfi,741517,Memphis,unknown,"An ancient place, cited: BAtlas 75 unlocated Memphis",http://pleiades.stoa.org/places/741517
Moahile,748965,Moahile,unknown,"An ancient place, cited: BAtlas 76 unlocated Moahile",http://pleiades.stoa.org/places/748965
Mochora,863842,Mochora,unknown,"An ancient place, cited: BAtlas 88 A2 Mocheresis",http://pleiades.stoa.org/places/863842
